PolicyID,CustomerID,ProductType,SumAssured,AnnualPremium,StartDate,EndDate,TenureMonths,Status,RegionID
5000140,205604,Auto,24894.01,1270.73,2022-11-03,2023-10-29,12,Active,6144
5000141,207360,Health,74221.03,4276.78,2022-12-08,2023-12-03,12,Active,6064
5000142,210062,Property,391191.29,32927.51,2022-03-02,2023-02-25,12,Active,6173
5000143,202434,Travel,34361.7,1934.51,2023-03-26,2023-09-22,6,Active,6204
5000144,206530,Health,57256.56,5657.32,2024-01-04,2024-12-29,12,Active,6171
5000145,207485,Health,22506.36,965.27,2024-04-27,2025-04-22,12,Active,6204
5000146,207624,Auto,29904.72,2441.84,2021-09-01,2022-08-27,12,Active,6030
5000147,200844,Health,42205.96,2792.18,2020-05-11,2021-05-06,12,Active,6029
5000148,207089,Auto,14757.58,639.14,2021-06-25,2022-06-20,12,Expired,6001
5000149,212854,Property,498044.51,56473.18,2021-03-12,2022-03-07,12,Active,6103
5000150,211225,Property,34331.31,2209.82,2023-05-08,2024-05-02,12,Active,6170
5000151,202523,Property,325072.28,34360.62,2024-05-11,2025-05-06,12,Active,6179
5000152,203332,PersonalAccident,94595.5,7631.59,2022-08-06,2023-08-01,12,Expired,6033
5000153,204140,SME,283795.99,10100.7,2025-06-27,2026-06-22,12,Active,6019
5000154,211410,Health,5823.33,484.48,2020-11-27,2021-11-22,12,Active,6136
5000155,210510,Travel,49818.5,5257.98,2024-08-07,2025-02-03,6,Expired,6209
5000156,201504,Health,80539.0,9582.96,2022-10-11,2023-10-06,12,Expired,6078
5000157,211562,SME,83980.05,3180.9,2020-12-08,2021-12-03,12,Active,6132
5000158,201104,Health,56102.06,3549.46,2023-11-05,2024-10-30,12,Cancelled,6130
5000159,206896,Auto,21685.08,1435.37,2024-12-08,2025-12-03,12,Active,6047
5000160,204850,PersonalAccident,25212.85,1494.27,2024-10-24,2025-10-19,12,Active,6084
5000161,200575,Property,73940.62,2979.19,2023-09-24,2024-09-18,12,Expired,6104
5000162,201911,Auto,10491.32,678.4,2023-11-11,2024-11-05,12,Active,6085
5000163,211142,SME,208192.51,12163.68,2022-04-28,2023-04-23,12,Expired,6172
5000164,205824,Travel,26255.88,2297.7,2022-01-13,2022-07-12,6,Lapsed,6060
5000165,213070,Travel,20607.65,439.9,2025-01-13,2025-07-12,6,Expired,6088
5000166,211707,Travel,23996.99,2611.51,2020-02-19,2020-08-17,6,Active,6049
5000167,214800,SME,220847.03,19483.32,2022-04-07,2023-04-02,12,Active,6047
5000168,205239,SME,227928.14,15415.87,2023-09-19,2024-09-13,12,Expired,6100
5000169,213838,Auto,27881.37,1409.65,2023-02-18,2024-02-13,12,Active,6205
5000170,208234,Auto,21241.39,2028.06,2022-05-15,2023-05-10,12,Active,6079
5000171,203999,Health,91412.26,2538.32,2022-10-05,2023-09-30,12,Active,6062
5000172,202034,Auto,13473.55,1585.36,2022-11-14,2023-11-09,12,Active,6080
5000173,211457,Property,336996.34,14187.39,2022-05-09,2023-05-04,12,Cancelled,6204
5000174,206698,Property,64208.37,2241.52,2023-11-26,2024-11-20,12,Expired,6212
5000175,202855,Auto,22091.81,1912.64,2025-03-07,2026-03-02,12,Active,6097
5000176,210483,Auto,22132.19,2414.89,2022-04-29,2023-04-24,12,Active,6175
5000177,212306,Property,488790.46,54948.83,2022-01-29,2023-01-24,12,Active,6148
5000178,210526,Property,289001.7,14555.27,2020-01-13,2021-01-07,12,Expired,6169
5000179,209689,Property,136506.36,8756.62,2022-09-22,2023-09-17,12,Active,6137
5000180,204067,Health,31986.93,2759.03,2022-10-06,2023-10-01,12,Active,6189
5000181,202459,Health,96865.4,9674.54,2020-12-02,2021-11-27,12,Active,6171
5000182,214270,Health,71461.56,8008.98,2020-07-18,2021-07-13,12,Active,6030
5000183,207774,Property,447151.6,33297.64,2021-01-08,2022-01-03,12,Expired,6031
5000184,204793,Auto,24926.86,502.22,2020-04-30,2021-04-25,12,Active,6057
5000185,207749,Health,79556.75,9447.45,2021-03-23,2022-03-18,12,Active,6050
5000186,200400,Health,59658.53,6186.51,2023-10-01,2024-09-25,12,Active,6102
5000187,201652,Health,83945.99,9699.42,2021-02-02,2022-01-28,12,Active,6219
5000188,209646,Auto,15234.33,1754.27,2021-06-25,2022-06-20,12,Active,6165
5000189,210321,Auto,26197.18,3025.77,2024-09-30,2025-09-25,12,Active,6213
5000190,205464,Auto,26696.01,2062.82,2024-07-15,2025-07-10,12,Active,6045
5000191,212893,Property,227121.72,5549.17,2020-03-26,2021-03-21,12,Active,6007
5000192,214682,Travel,6354.28,393.22,2024-06-20,2024-12-17,6,Active,6009
5000193,204389,Health,55161.72,3513.37,2023-10-22,2024-10-16,12,Active,6062
5000194,201282,PersonalAccident,55867.68,1956.35,2023-03-29,2024-03-23,12,Active,6203
5000195,207573,Auto,21874.06,942.97,2024-05-27,2025-05-22,12,Active,6162
5000196,200099,Auto,10632.7,389.42,2021-01-26,2022-01-21,12,Active,6184
5000197,201693,Auto,19021.47,1444.85,2022-07-25,2023-07-20,12,Active,6176
5000198,205775,Travel,37190.55,3044.2,2020-01-06,2020-07-04,6,Active,6063
5000199,214808,Auto,16879.49,755.1,2020-10-20,2021-10-15,12,Active,6194
5000200,210297,Health,9860.11,366.21,2023-06-19,2024-06-13,12,Active,6175
5000201,204071,Health,82845.19,4851.89,2022-04-18,2023-04-13,12,Expired,6197
5000202,214536,Auto,9546.82,607.86,2023-06-21,2024-06-15,12,Active,6151
5000203,200691,Health,55981.64,1360.71,2023-03-20,2024-03-14,12,Cancelled,6144
5000204,213939,Health,88399.18,3820.15,2021-05-09,2022-05-04,12,Active,6076
5000205,213738,Property,309304.4,10389.51,2023-10-24,2024-10-18,12,Cancelled,6150
5000206,201808,Travel,21533.86,566.85,2020-08-25,2021-02-21,6,Active,6149
5000207,213216,PersonalAccident,16961.39,424.4,2022-08-06,2023-08-01,12,Active,6142
5000208,204031,SME,202568.01,16215.08,2024-11-19,2025-11-14,12,Lapsed,6157
5000209,211881,Property,66864.87,3598.11,2021-03-24,2022-03-19,12,Active,6132
5000210,204085,Auto,28561.67,2162.65,2021-05-23,2022-05-18,12,Expired,6108
5000211,213667,Health,29112.57,2548.77,2021-04-15,2022-04-10,12,Active,6046
5000212,210538,SME,198916.39,14550.3,2021-02-27,2022-02-22,12,Active,6068
5000213,207463,Property,352276.7,28838.56,2023-04-23,2024-04-17,12,Active,6013
5000214,206179,PersonalAccident,45600.48,2915.48,2021-08-17,2022-08-12,12,Active,6085
5000215,204393,Property,301450.46,8831.19,2023-09-11,2024-09-05,12,Expired,6187
5000216,201231,Auto,11676.64,1377.16,2024-12-20,2025-12-15,12,Active,6077
5000217,200338,Property,174647.88,19201.65,2021-08-01,2022-07-27,12,Lapsed,6160
5000218,204248,Health,47705.22,5004.13,2021-03-23,2022-03-18,12,Active,6179
5000219,213793,PersonalAccident,27115.72,1816.19,2024-03-31,2025-03-26,12,Active,6022
5000220,208784,Property,309738.84,15843.66,2024-03-29,2025-03-24,12,Active,6161
5000221,206353,Health,87085.69,5873.7,2025-08-14,2026-08-09,12,Active,6024
5000222,213113,SME,143656.14,3786.97,2021-06-02,2022-05-28,12,Active,6107
5000223,207618,Health,91013.71,5737.68,2023-05-19,2024-05-13,12,Expired,6061
5000224,206372,Auto,7660.03,626.83,2024-05-10,2025-05-05,12,Active,6150
5000225,212923,Property,165212.0,12018.39,2021-10-09,2022-10-04,12,Active,6196
5000226,203401,Health,79772.44,2995.74,2025-08-19,2026-08-14,12,Active,6140
5000227,213105,Health,36361.57,3254.69,2022-10-11,2023-10-06,12,Active,6057
5000228,209182,Health,36624.96,2864.84,2024-09-01,2025-08-27,12,Active,6163
5000229,201247,PersonalAccident,91524.48,3672.52,2022-03-14,2023-03-09,12,Active,6156
5000230,211038,Auto,20761.81,659.29,2023-06-22,2024-06-16,12,Active,6079
5000231,202837,Property,455401.22,46475.4,2022-06-14,2023-06-09,12,Active,6002
5000232,208973,Property,65527.08,7220.78,2023-08-27,2024-08-21,12,Active,6003
5000233,209784,SME,108333.69,5611.57,2021-12-31,2022-12-26,12,Active,6151
5000234,213696,Auto,18831.79,1467.51,2023-04-19,2024-04-13,12,Active,6152
5000235,201510,Property,82796.07,6455.78,2024-05-28,2025-05-23,12,Active,6207
5000236,212507,PersonalAccident,5873.66,245.92,2021-08-21,2022-08-16,12,Expired,6182
5000237,210722,Health,96267.8,7612.43,2023-06-03,2024-05-28,12,Active,6020
5000238,200151,Auto,8616.06,913.66,2020-08-21,2021-08-16,12,Active,6018
5000239,200061,Property,459279.59,16240.03,2020-10-03,2021-09-28,12,Active,6170
5000240,214850,Health,45148.2,4712.54,2020-07-30,2021-07-25,12,Active,6147
5000241,205379,Auto,12720.26,472.81,2020-08-11,2021-08-06,12,Active,6077
5000242,207124,Property,450643.65,24946.79,2022-08-05,2023-07-31,12,Active,6183
5000243,209875,Auto,13063.43,617.72,2023-09-11,2024-09-05,12,Active,6027
5000244,211631,Health,81872.91,5757.52,2020-09-27,2021-09-22,12,Expired,6178
5000245,214036,Auto,17089.78,854.59,2021-02-27,2022-02-22,12,Active,6050
5000246,207921,SME,169711.84,6896.32,2022-02-23,2023-02-18,12,Active,6016
5000247,203927,Auto,8447.69,541.67,2025-04-02,2026-03-28,12,Active,6211
5000248,203523,Property,253545.95,20613.13,2023-07-26,2024-07-20,12,Active,6140
5000249,205061,Travel,30301.1,975.68,2025-05-07,2025-11-03,6,Cancelled,6034
5000250,208154,Health,78476.41,8030.4,2024-04-30,2025-04-25,12,Active,6058
5000251,206572,Health,27150.27,2288.76,2023-01-09,2024-01-04,12,Lapsed,6211
5000252,211763,Travel,10086.58,402.82,2025-08-10,2026-02-06,6,Active,6115
5000253,204823,Travel,41935.66,3834.18,2022-02-06,2022-08-05,6,Active,6105
5000254,214997,Auto,23647.81,584.18,2024-11-20,2025-11-15,12,Active,6063
5000255,203553,PersonalAccident,39031.63,2474.84,2024-11-22,2025-11-17,12,Cancelled,6157
5000256,202431,SME,12447.09,388.93,2021-12-31,2022-12-26,12,Active,6170
5000257,203477,Health,75187.21,2112.18,2025-04-13,2026-04-08,12,Active,6022
5000258,209559,Health,12566.81,839.59,2024-04-23,2025-04-18,12,Active,6019
5000259,206780,SME,100780.44,11321.48,2024-02-05,2025-01-30,12,Active,6213
5000260,208911,PersonalAccident,29501.56,1501.67,2020-06-03,2021-05-29,12,Active,6211
5000261,204758,PersonalAccident,39551.0,2719.49,2022-08-01,2023-07-27,12,Active,6040
5000262,203565,Auto,11865.77,953.86,2022-02-16,2023-02-11,12,Active,6009
5000263,204156,Auto,4357.68,406.81,2023-01-07,2024-01-02,12,Active,6218
5000264,204383,Auto,9024.42,790.8,2022-04-07,2023-04-02,12,Active,6203
5000265,209232,Travel,38173.34,1575.52,2023-03-24,2023-09-20,6,Active,6187
5000266,213187,Auto,29267.54,1417.73,2022-08-06,2023-08-01,12,Active,6099
5000267,208446,Auto,27561.02,861.76,2022-04-26,2023-04-21,12,Active,6211
5000268,209067,SME,45055.8,4674.93,2023-08-15,2024-08-09,12,Active,6015
5000269,202972,PersonalAccident,57774.33,6914.44,2023-09-17,2024-09-11,12,Expired,6095
5000270,210379,Auto,19988.76,1802.06,2020-09-22,2021-09-17,12,Active,6160
5000271,208294,Health,26382.81,1563.18,2020-12-16,2021-12-11,12,Expired,6202
5000272,213083,SME,37445.6,4195.71,2021-09-06,2022-09-01,12,Active,6089
5000273,200356,Property,22378.27,2458.75,2025-04-17,2026-04-12,12,Active,6014
5000274,209973,Health,66391.06,3922.73,2020-03-12,2021-03-07,12,Active,6116
5000275,210358,Health,42445.29,2161.82,2020-08-04,2021-07-30,12,Cancelled,6002
5000276,209065,Property,276623.96,22156.79,2024-04-03,2025-03-29,12,Active,6170
5000277,208882,Health,29099.79,2923.49,2020-11-03,2021-10-29,12,Active,6126
5000278,200145,Auto,14456.64,1177.24,2021-06-17,2022-06-12,12,Active,6063
5000279,214430,Property,273106.04,17344.71,2022-06-09,2023-06-04,12,Active,6138
5000280,214812,Auto,26528.58,1480.95,2021-10-01,2022-09-26,12,Active,6173
5000281,201029,Property,164845.45,19522.23,2022-06-01,2023-05-27,12,Active,6108
5000282,201186,Auto,15012.82,836.71,2023-02-27,2024-02-22,12,Active,6063
5000283,210826,Auto,12773.21,1249.91,2020-05-06,2021-05-01,12,Active,6105
5000284,201137,Auto,6851.74,638.79,2021-09-15,2022-09-10,12,Active,6029
5000285,206054,Auto,2722.3,261.82,2021-09-12,2022-09-07,12,Active,6040
5000286,210011,Auto,24492.29,1772.65,2021-09-10,2022-09-05,12,Active,6052
5000287,203511,Auto,21456.97,1840.94,2024-04-30,2025-04-25,12,Cancelled,6025
5000288,210816,Auto,29194.73,3036.53,2025-06-15,2026-06-10,12,Lapsed,6084
5000289,210474,SME,291110.54,13092.99,2023-11-19,2024-11-13,12,Active,6033
5000290,208959,Auto,7930.2,619.5,2024-04-07,2025-04-02,12,Active,6008
5000291,213455,Property,364264.62,16854.25,2020-12-14,2021-12-09,12,Lapsed,6199
5000292,202845,Travel,39575.81,2715.12,2024-03-29,2024-09-25,6,Active,6096
5000293,214738,Health,83147.18,5027.36,2021-02-04,2022-01-30,12,Active,6162
5000294,213988,Health,18873.54,448.15,2021-04-16,2022-04-11,12,Active,6037
5000295,202760,Auto,7867.11,670.68,2024-12-31,2025-12-26,12,Active,6114
5000296,204122,Auto,6513.47,406.92,2020-07-04,2021-06-29,12,Active,6067
5000297,204305,Health,42742.7,1428.61,2021-11-11,2022-11-06,12,Active,6098
5000298,214351,Health,46110.51,4501.24,2024-05-29,2025-05-24,12,Active,6005
5000299,211871,Health,75676.44,8248.19,2024-08-17,2025-08-12,12,Expired,6187
5000300,209117,SME,12444.58,1295.23,2025-06-17,2026-06-12,12,Active,6165
5000301,202146,Health,14604.68,489.05,2022-11-27,2023-11-22,12,Expired,6111
5000302,209351,Auto,21025.8,649.74,2021-03-30,2022-03-25,12,Active,6120
5000303,203631,Property,465874.75,46546.4,2025-06-18,2026-06-13,12,Expired,6010
5000304,206436,Auto,29406.94,3389.45,2023-09-04,2024-08-29,12,Active,6065
5000305,212289,Health,39440.78,4061.42,2022-01-29,2023-01-24,12,Active,6086
5000306,206797,Auto,14815.63,1751.28,2023-01-26,2024-01-21,12,Active,6140
5000307,208428,Property,285782.36,26157.77,2023-06-15,2024-06-09,12,Active,6109
5000308,212292,Auto,23527.02,1918.5,2022-03-08,2023-03-03,12,Lapsed,6158
5000309,210960,Property,79393.28,5705.04,2021-09-05,2022-08-31,12,Active,6013
5000310,200387,SME,73189.55,6863.18,2023-12-08,2024-12-02,12,Active,6160
5000311,208945,Travel,12644.42,1165.77,2022-04-30,2022-10-27,6,Active,6175
5000312,200465,Health,73224.03,7022.42,2021-06-26,2022-06-21,12,Active,6119
5000313,208973,Auto,18135.63,1619.06,2024-12-19,2025-12-14,12,Lapsed,6150
5000314,200285,Auto,28583.22,2479.46,2022-01-04,2022-12-30,12,Active,6096
5000315,212437,Health,57577.7,5768.23,2023-03-25,2024-03-19,12,Active,6125
5000316,207908,Health,38732.26,3943.2,2024-04-19,2025-04-14,12,Active,6182
5000317,201155,Property,142444.12,12386.99,2023-11-13,2024-11-07,12,Active,6096
5000318,201075,Auto,9090.42,1057.75,2024-02-29,2025-02-23,12,Active,6129
5000319,205082,PersonalAccident,37102.59,2428.42,2023-03-15,2024-03-09,12,Active,6112
5000320,214707,Health,5068.34,559.65,2020-12-15,2021-12-10,12,Active,6058
5000321,211845,SME,232939.02,18096.54,2022-01-26,2023-01-21,12,Active,6156
5000322,208622,Health,10410.73,1038.67,2023-03-27,2024-03-21,12,Active,6067
