ProviderID,ProviderName,Category,RegionID,Rating
900089,Provider_0089,Hospital,6158,3.51
900090,Provider_0090,Hospital,6063,3.35
900091,Provider_0091,Garage,6176,4.72
900092,Provider_0092,Garage,6204,3.0
900093,Provider_0093,Hospital,6094,3.96
900094,Provider_0094,Diagnostics,6172,2.89
900095,Provider_0095,Garage,6075,3.01
900096,Provider_0096,Hospital,6030,2.61
900097,Provider_0097,Hospital,6203,3.04
900098,Provider_0098,Hospital,6086,3.17
900099,Provider_0099,Hospital,6173,4.65
900100,Provider_0100,TPA,6182,3.13
900101,Provider_0101,Hospital,6178,4.31
900102,Provider_0102,BodyShop,6191,4.07
900103,Provider_0103,Hospital,6012,4.91
900104,Provider_0104,Diagnostics,6186,4.9
900105,Provider_0105,Garage,6035,3.53
900106,Provider_0106,Garage,6172,4.67
900107,Provider_0107,Hospital,6189,3.51
900108,Provider_0108,Hospital,6024,2.68
900109,Provider_0109,Garage,6171,2.91
900110,Provider_0110,TPA,6024,4.58
900111,Provider_0111,Hospital,6092,3.85
900112,Provider_0112,Hospital,6110,3.59
900113,Provider_0113,Hospital,6009,2.92
900114,Provider_0114,Hospital,6117,3.94
900115,Provider_0115,Hospital,6024,4.94
900116,Provider_0116,Hospital,6110,4.98
900117,Provider_0117,TPA,6207,4.48
900118,Provider_0118,BodyShop,6191,4.57
900119,Provider_0119,Garage,6081,3.86
900120,Provider_0120,Garage,6024,3.21
900121,Provider_0121,Garage,6051,4.95
900122,Provider_0122,Garage,6105,4.54
900123,Provider_0123,Hospital,6157,4.79
900124,Provider_0124,BodyShop,6208,2.86
900125,Provider_0125,BodyShop,6214,4.66
900126,Provider_0126,BodyShop,6201,4.22
900127,Provider_0127,Garage,6083,3.65
900128,Provider_0128,BodyShop,6146,2.58
900129,Provider_0129,BodyShop,6175,4.34
900130,Provider_0130,Garage,6203,4.74
900131,Provider_0131,Hospital,6060,3.28
900132,Provider_0132,Hospital,6036,3.29
900133,Provider_0133,Hospital,6163,3.26
900134,Provider_0134,Garage,6040,3.0
900135,Provider_0135,Clinic,6077,2.73
900136,Provider_0136,Diagnostics,6003,4.78
900137,Provider_0137,Hospital,6010,2.53
900138,Provider_0138,Garage,6216,3.97
900139,Provider_0139,Hospital,6141,3.71
900140,Provider_0140,Clinic,6164,4.3
900141,Provider_0141,Hospital,6195,4.05
900142,Provider_0142,Garage,6052,4.21
900143,Provider_0143,Clinic,6009,4.14
900144,Provider_0144,TPA,6049,3.52
900145,Provider_0145,Hospital,6012,4.15
900146,Provider_0146,Garage,6219,4.07
900147,Provider_0147,Garage,6066,2.9
900148,Provider_0148,Garage,6030,3.86
900149,Provider_0149,Garage,6141,3.24
900150,Provider_0150,Garage,6005,2.69
900151,Provider_0151,Garage,6188,2.5
900152,Provider_0152,Clinic,6173,4.76
900153,Provider_0153,Garage,6199,2.93
900154,Provider_0154,TPA,6131,4.74
900155,Provider_0155,Garage,6049,4.76
900156,Provider_0156,Garage,6172,2.91
900157,Provider_0157,Garage,6070,2.6
900158,Provider_0158,Garage,6093,4.23
900159,Provider_0159,Garage,6180,3.07
900160,Provider_0160,Garage,6187,2.6
900161,Provider_0161,Hospital,6118,3.01
900162,Provider_0162,TPA,6009,4.36
900163,Provider_0163,Garage,6198,2.82
900164,Provider_0164,Garage,6198,4.78
900165,Provider_0165,Hospital,6075,2.75
900166,Provider_0166,Garage,6017,2.56
900167,Provider_0167,Diagnostics,6205,3.74
900168,Provider_0168,Garage,6152,3.86
900169,Provider_0169,Garage,6171,4.38
900170,Provider_0170,Garage,6097,4.43
900171,Provider_0171,Garage,6170,2.7
900172,Provider_0172,Hospital,6153,4.14
900173,Provider_0173,Garage,6076,3.68
900174,Provider_0174,Clinic,6121,4.18
900175,Provider_0175,Hospital,6215,2.94
900176,Provider_0176,Garage,6011,4.39
900177,Provider_0177,Garage,6039,4.55
900178,Provider_0178,Garage,6184,4.31
900179,Provider_0179,Garage,6079,4.46
900180,Provider_0180,Hospital,6035,3.3
900181,Provider_0181,Hospital,6200,3.05
900182,Provider_0182,Hospital,6060,3.76
900183,Provider_0183,Hospital,6146,3.13
900184,Provider_0184,Hospital,6128,3.36
900185,Provider_0185,BodyShop,6061,4.03
900186,Provider_0186,Hospital,6079,3.05
900187,Provider_0187,Hospital,6060,4.56
900188,Provider_0188,Garage,6045,2.71
900189,Provider_0189,Hospital,6158,3.05
900190,Provider_0190,Garage,6033,4.6
900191,Provider_0191,Garage,6210,3.73
900192,Provider_0192,Hospital,6101,2.91
900193,Provider_0193,Hospital,6114,3.96
900194,Provider_0194,BodyShop,6098,4.77
900195,Provider_0195,BodyShop,6020,4.12
900196,Provider_0196,Hospital,6147,3.13
900197,Provider_0197,Hospital,6115,3.91
900198,Provider_0198,Hospital,6024,4.66
900199,Provider_0199,Hospital,6213,4.76
900200,Provider_0200,BodyShop,6032,4.78
900201,Provider_0201,Garage,6011,3.76
900202,Provider_0202,Clinic,6089,3.37
900203,Provider_0203,Hospital,6199,2.69
900204,Provider_0204,Hospital,6124,2.67
900205,Provider_0205,TPA,6143,2.69
900206,Provider_0206,BodyShop,6114,3.8
900207,Provider_0207,Hospital,6017,4.03
900208,Provider_0208,TPA,6081,3.18
900209,Provider_0209,Garage,6145,3.09
900210,Provider_0210,Hospital,6200,4.53
900211,Provider_0211,Garage,6086,3.17
900212,Provider_0212,Garage,6214,4.19
900213,Provider_0213,Hospital,6170,4.7
900214,Provider_0214,BodyShop,6188,4.63
900215,Provider_0215,Garage,6063,3.37
900216,Provider_0216,Garage,6174,3.57
900217,Provider_0217,TPA,6208,2.99
900218,Provider_0218,Garage,6037,2.88
900219,Provider_0219,Hospital,6199,3.86
900220,Provider_0220,Hospital,6216,4.64
900221,Provider_0221,BodyShop,6166,3.13
900222,Provider_0222,BodyShop,6144,3.87
900223,Provider_0223,Garage,6100,3.86
900224,Provider_0224,BodyShop,6145,2.58
900225,Provider_0225,BodyShop,6075,3.42
900226,Provider_0226,Garage,6144,4.66
900227,Provider_0227,Hospital,6019,4.6
900228,Provider_0228,Hospital,6172,4.22
900229,Provider_0229,Garage,6060,3.16
900230,Provider_0230,Hospital,6116,2.84
900231,Provider_0231,TPA,6124,3.52
900232,Provider_0232,Clinic,6148,3.24
900233,Provider_0233,BodyShop,6005,3.53
900234,Provider_0234,Hospital,6194,2.54
900235,Provider_0235,TPA,6174,3.84
900236,Provider_0236,Hospital,6050,4.33
900237,Provider_0237,Garage,6006,4.21
900238,Provider_0238,Clinic,6109,4.92
900239,Provider_0239,Hospital,6009,2.65
900240,Provider_0240,Diagnostics,6068,5.0
900241,Provider_0241,Garage,6048,4.48
900242,Provider_0242,Garage,6100,4.45
900243,Provider_0243,Hospital,6206,3.34
900244,Provider_0244,Garage,6046,3.75
900245,Provider_0245,BodyShop,6134,2.8
900246,Provider_0246,Hospital,6018,4.76
900247,Provider_0247,Garage,6177,4.42
900248,Provider_0248,Hospital,6129,4.63
900249,Provider_0249,Garage,6043,2.83
900250,Provider_0250,Hospital,6162,2.78
900251,Provider_0251,BodyShop,6044,4.74
900252,Provider_0252,Garage,6159,2.5
900253,Provider_0253,Hospital,6132,2.56
900254,Provider_0254,BodyShop,6086,3.88
900255,Provider_0255,Hospital,6092,4.4
900256,Provider_0256,Garage,6106,2.94
900257,Provider_0257,Garage,6053,4.03
900258,Provider_0258,TPA,6083,4.97
900259,Provider_0259,Hospital,6164,2.78
900260,Provider_0260,BodyShop,6010,3.83
900261,Provider_0261,Garage,6107,4.66
900262,Provider_0262,Garage,6036,4.66
900263,Provider_0263,TPA,6178,3.95
900264,Provider_0264,Hospital,6068,3.19
900265,Provider_0265,Clinic,6022,3.15
900266,Provider_0266,Hospital,6188,3.07
900267,Provider_0267,Clinic,6101,3.05
900268,Provider_0268,TPA,6210,4.0
900269,Provider_0269,Garage,6046,4.53
900270,Provider_0270,Hospital,6209,4.99
900271,Provider_0271,Hospital,6046,2.72
900272,Provider_0272,Hospital,6155,2.67
900273,Provider_0273,Hospital,6032,3.77
900274,Provider_0274,BodyShop,6211,3.06
900275,Provider_0275,Clinic,6035,4.29
900276,Provider_0276,Garage,6048,3.3
900277,Provider_0277,Hospital,6138,3.63
900278,Provider_0278,Hospital,6060,2.5
900279,Provider_0279,Garage,6169,4.97
900280,Provider_0280,Garage,6121,4.21
900281,Provider_0281,Garage,6000,3.11
900282,Provider_0282,Garage,6020,3.3
900283,Provider_0283,Garage,6131,4.15
900284,Provider_0284,Clinic,6215,4.71
900285,Provider_0285,Hospital,6123,4.6
900286,Provider_0286,TPA,6071,4.11
900287,Provider_0287,Garage,6151,4.35
900288,Provider_0288,TPA,6134,4.76
900289,Provider_0289,Garage,6077,2.83
900290,Provider_0290,Clinic,6110,4.95
900291,Provider_0291,Garage,6061,4.26
900292,Provider_0292,Hospital,6099,2.92
900293,Provider_0293,BodyShop,6021,4.05
900294,Provider_0294,Garage,6129,3.69
900295,Provider_0295,Hospital,6107,3.95
900296,Provider_0296,Garage,6148,3.98
900297,Provider_0297,Garage,6069,3.32
900298,Provider_0298,Garage,6013,2.67
900299,Provider_0299,Clinic,6146,3.95
900300,Provider_0300,Garage,6002,3.11
900301,Provider_0301,Hospital,6148,2.76
900302,Provider_0302,Hospital,6126,3.0
900303,Provider_0303,Hospital,6124,3.47
900304,Provider_0304,Hospital,6198,3.68
900305,Provider_0305,BodyShop,6163,4.9
900306,Provider_0306,BodyShop,6040,2.52
900307,Provider_0307,Garage,6012,4.6
900308,Provider_0308,Garage,6011,4.65
900309,Provider_0309,TPA,6174,4.91
900310,Provider_0310,Hospital,6086,4.46
900311,Provider_0311,Garage,6013,3.01
900312,Provider_0312,Hospital,6209,4.39
900313,Provider_0313,Garage,6217,4.06
900314,Provider_0314,TPA,6101,3.86
900315,Provider_0315,Garage,6169,3.52
900316,Provider_0316,TPA,6179,4.34
900317,Provider_0317,Garage,6057,3.77
900318,Provider_0318,Clinic,6164,3.0
900319,Provider_0319,Clinic,6171,3.09
900320,Provider_0320,Garage,6038,4.43
900321,Provider_0321,BodyShop,6009,3.92
900322,Provider_0322,Clinic,6084,3.82
900323,Provider_0323,Hospital,6162,4.47
900324,Provider_0324,Garage,6178,4.28
900325,Provider_0325,Garage,6017,2.6
900326,Provider_0326,Garage,6193,3.99
900327,Provider_0327,Hospital,6168,3.61
900328,Provider_0328,BodyShop,6167,3.05
900329,Provider_0329,BodyShop,6063,4.93
900330,Provider_0330,BodyShop,6161,4.25
900331,Provider_0331,Garage,6000,2.93
900332,Provider_0332,Clinic,6002,3.13
900333,Provider_0333,Hospital,6068,4.01
900334,Provider_0334,BodyShop,6144,4.12
900335,Provider_0335,Garage,6087,2.7
900336,Provider_0336,BodyShop,6175,3.18
900337,Provider_0337,Garage,6123,3.57
900338,Provider_0338,Clinic,6218,4.98
900339,Provider_0339,Garage,6193,3.79
900340,Provider_0340,TPA,6130,2.54
900341,Provider_0341,Garage,6086,3.88
900342,Provider_0342,Hospital,6102,4.79
900343,Provider_0343,Garage,6128,4.68
900344,Provider_0344,BodyShop,6138,4.98
900345,Provider_0345,Garage,6045,3.95
900346,Provider_0346,Hospital,6163,4.46
900347,Provider_0347,Hospital,6214,2.96
900348,Provider_0348,Garage,6135,4.65
900349,Provider_0349,Garage,6193,4.15
900350,Provider_0350,Hospital,6020,4.42
900351,Provider_0351,Clinic,6156,2.65
900352,Provider_0352,Hospital,6190,3.54
900353,Provider_0353,Garage,6160,2.9
900354,Provider_0354,Hospital,6141,4.43
900355,Provider_0355,Hospital,6025,3.89
900356,Provider_0356,Diagnostics,6040,4.85
900357,Provider_0357,Hospital,6044,3.42
900358,Provider_0358,Clinic,6138,4.29
900359,Provider_0359,Hospital,6074,3.37
900360,Provider_0360,Hospital,6139,4.32
900361,Provider_0361,Hospital,6112,4.72
900362,Provider_0362,Hospital,6158,2.7
900363,Provider_0363,BodyShop,6108,3.13
900364,Provider_0364,Garage,6179,2.58
900365,Provider_0365,Hospital,6136,4.33
900366,Provider_0366,Hospital,6207,4.86
900367,Provider_0367,Hospital,6084,4.32
900368,Provider_0368,Hospital,6033,3.49
900369,Provider_0369,TPA,6059,4.7
900370,Provider_0370,TPA,6152,4.53
900371,Provider_0371,BodyShop,6158,3.5
900372,Provider_0372,TPA,6076,3.07
900373,Provider_0373,Hospital,6080,3.06
900374,Provider_0374,BodyShop,6083,4.95
900375,Provider_0375,Garage,6034,3.69
900376,Provider_0376,TPA,6139,2.74
900377,Provider_0377,BodyShop,6075,4.66
900378,Provider_0378,Hospital,6078,2.85
900379,Provider_0379,Garage,6163,3.68
900380,Provider_0380,Diagnostics,6056,4.37
900381,Provider_0381,Clinic,6179,3.6
900382,Provider_0382,Hospital,6030,3.12
900383,Provider_0383,Hospital,6149,3.96
900384,Provider_0384,BodyShop,6214,3.48
900385,Provider_0385,Hospital,6046,3.07
900386,Provider_0386,Hospital,6218,2.72
900387,Provider_0387,Hospital,6069,4.13
900388,Provider_0388,BodyShop,6124,3.79
900389,Provider_0389,Hospital,6173,2.7
900390,Provider_0390,BodyShop,6093,4.52
900391,Provider_0391,Garage,6163,4.92
900392,Provider_0392,Hospital,6131,2.52
900393,Provider_0393,Garage,6006,3.34
900394,Provider_0394,BodyShop,6082,4.73
900395,Provider_0395,Garage,6152,2.79
900396,Provider_0396,Clinic,6121,3.09
900397,Provider_0397,Garage,6053,3.44
900398,Provider_0398,Garage,6014,3.51
900399,Provider_0399,Garage,6207,3.95
900400,Provider_0400,Hospital,6160,4.27
900401,Provider_0401,Garage,6045,4.95
900402,Provider_0402,Garage,6043,3.48
900403,Provider_0403,TPA,6030,3.61
900404,Provider_0404,Hospital,6191,3.38
900405,Provider_0405,Garage,6099,4.63
900406,Provider_0406,Hospital,6090,4.57
900407,Provider_0407,Hospital,6215,3.5
900408,Provider_0408,Hospital,6059,2.62
900409,Provider_0409,Garage,6043,4.17
900410,Provider_0410,Garage,6106,3.96
900411,Provider_0411,Hospital,6186,4.3
900412,Provider_0412,Garage,6184,3.91
900413,Provider_0413,Hospital,6062,3.49
900414,Provider_0414,Garage,6040,3.0
900415,Provider_0415,Hospital,6021,2.87
900416,Provider_0416,Hospital,6083,3.59
900417,Provider_0417,Diagnostics,6031,2.98
900418,Provider_0418,TPA,6000,4.33
900419,Provider_0419,Hospital,6098,3.0
900420,Provider_0420,Hospital,6188,2.92
900421,Provider_0421,Diagnostics,6129,4.05
900422,Provider_0422,Hospital,6183,3.54
900423,Provider_0423,BodyShop,6185,4.79
900424,Provider_0424,Garage,6146,3.46
900425,Provider_0425,BodyShop,6088,2.67
900426,Provider_0426,Hospital,6022,3.81
900427,Provider_0427,Hospital,6056,2.66
900428,Provider_0428,Garage,6149,4.24
900429,Provider_0429,BodyShop,6111,4.26
900430,Provider_0430,Garage,6177,3.75
900431,Provider_0431,Garage,6089,3.58
900432,Provider_0432,Garage,6009,3.67
900433,Provider_0433,BodyShop,6030,3.21
900434,Provider_0434,Hospital,6197,2.79
900435,Provider_0435,Hospital,6136,3.52
900436,Provider_0436,Garage,6085,2.91
900437,Provider_0437,Diagnostics,6007,4.81
900438,Provider_0438,Garage,6034,4.75
900439,Provider_0439,Garage,6009,2.88
900440,Provider_0440,Hospital,6155,4.53
900441,Provider_0441,Garage,6030,4.23
900442,Provider_0442,Hospital,6100,2.81
900443,Provider_0443,Diagnostics,6130,4.26
900444,Provider_0444,Garage,6090,4.08
900445,Provider_0445,Diagnostics,6093,3.61
900446,Provider_0446,BodyShop,6177,2.58
900447,Provider_0447,Hospital,6049,3.87
900448,Provider_0448,TPA,6185,4.25
900449,Provider_0449,TPA,6027,3.2
900450,Provider_0450,BodyShop,6029,4.57
900451,Provider_0451,Hospital,6107,3.41
900452,Provider_0452,TPA,6147,4.11
900453,Provider_0453,BodyShop,6143,4.36
900454,Provider_0454,Garage,6205,3.27
900455,Provider_0455,Garage,6176,2.6
900456,Provider_0456,Garage,6017,2.63
900457,Provider_0457,Garage,6097,4.61
900458,Provider_0458,TPA,6031,4.68
900459,Provider_0459,Hospital,6190,4.84
900460,Provider_0460,Hospital,6074,4.96
900461,Provider_0461,Garage,6115,4.27
900462,Provider_0462,Hospital,6155,4.61
900463,Provider_0463,Hospital,6057,4.18
900464,Provider_0464,BodyShop,6105,3.17
900465,Provider_0465,BodyShop,6002,3.74
900466,Provider_0466,Garage,6057,3.3
900467,Provider_0467,TPA,6188,3.97
900468,Provider_0468,Hospital,6000,4.24
900469,Provider_0469,Hospital,6155,3.33
900470,Provider_0470,Hospital,6147,4.62
900471,Provider_0471,Garage,6190,2.64
900472,Provider_0472,Clinic,6002,4.85
900473,Provider_0473,TPA,6043,4.87
900474,Provider_0474,Hospital,6134,3.47
900475,Provider_0475,BodyShop,6149,2.56
900476,Provider_0476,Hospital,6017,2.98
900477,Provider_0477,Diagnostics,6055,4.34
900478,Provider_0478,Hospital,6173,2.96
900479,Provider_0479,BodyShop,6007,4.97
900480,Provider_0480,Hospital,6044,2.68
900481,Provider_0481,Garage,6219,2.92
900482,Provider_0482,Hospital,6200,2.52
900483,Provider_0483,Garage,6047,2.81
900484,Provider_0484,Hospital,6063,4.71
900485,Provider_0485,Hospital,6099,3.89
900486,Provider_0486,Hospital,6120,3.98
900487,Provider_0487,Garage,6130,4.2
900488,Provider_0488,Garage,6151,3.76
900489,Provider_0489,TPA,6038,4.55
900490,Provider_0490,Diagnostics,6159,4.5
900491,Provider_0491,Hospital,6132,4.72
900492,Provider_0492,Garage,6066,4.78
900493,Provider_0493,Garage,6033,2.7
900494,Provider_0494,BodyShop,6149,4.61
900495,Provider_0495,TPA,6121,4.71
900496,Provider_0496,Garage,6084,3.11
900497,Provider_0497,TPA,6142,2.52
900498,Provider_0498,Garage,6112,2.66
900499,Provider_0499,TPA,6133,4.04
900500,Provider_0500,Hospital,6130,4.01
900501,Provider_0501,Garage,6124,2.94
900502,Provider_0502,TPA,6011,2.69
900503,Provider_0503,Clinic,6198,4.87
900504,Provider_0504,Hospital,6143,4.28
900505,Provider_0505,Garage,6025,2.51
900506,Provider_0506,Hospital,6066,4.06
900507,Provider_0507,TPA,6090,3.46
900508,Provider_0508,Hospital,6059,4.8
900509,Provider_0509,Clinic,6150,2.99
900510,Provider_0510,BodyShop,6199,4.72
900511,Provider_0511,Garage,6136,2.64
900512,Provider_0512,Hospital,6060,4.83
900513,Provider_0513,Garage,6046,3.82
900514,Provider_0514,Hospital,6148,3.0
900515,Provider_0515,Garage,6137,4.47
900516,Provider_0516,Garage,6169,3.67
900517,Provider_0517,Clinic,6197,3.93
900518,Provider_0518,Hospital,6094,2.51
900519,Provider_0519,Hospital,6047,3.89
900520,Provider_0520,Garage,6072,3.19
900521,Provider_0521,Garage,6022,3.2
900522,Provider_0522,Hospital,6154,2.93
900523,Provider_0523,TPA,6087,3.59
900524,Provider_0524,Hospital,6185,2.51
900525,Provider_0525,Garage,6093,2.53
900526,Provider_0526,Clinic,6033,3.23
900527,Provider_0527,TPA,6171,4.99
900528,Provider_0528,Garage,6193,3.75
900529,Provider_0529,Garage,6063,3.79
900530,Provider_0530,Garage,6202,4.76
900531,Provider_0531,BodyShop,6180,3.45
900532,Provider_0532,Garage,6073,2.8
900533,Provider_0533,BodyShop,6010,3.94
900534,Provider_0534,Hospital,6045,3.93
900535,Provider_0535,Hospital,6035,3.31
900536,Provider_0536,Hospital,6019,3.67
900537,Provider_0537,BodyShop,6053,3.29
900538,Provider_0538,TPA,6014,3.4
900539,Provider_0539,Clinic,6057,4.46
900540,Provider_0540,Hospital,6219,3.36
900541,Provider_0541,Garage,6073,2.79
900542,Provider_0542,Garage,6045,3.32
900543,Provider_0543,Garage,6059,3.44
900544,Provider_0544,Hospital,6171,2.59
900545,Provider_0545,Garage,6189,3.63
900546,Provider_0546,Garage,6030,3.27
900547,Provider_0547,Clinic,6163,4.07
900548,Provider_0548,Garage,6079,4.1
900549,Provider_0549,Garage,6008,3.79
900550,Provider_0550,Clinic,6024,4.67
900551,Provider_0551,Diagnostics,6125,3.46
900552,Provider_0552,Garage,6058,4.37
900553,Provider_0553,Clinic,6038,2.82
900554,Provider_0554,Clinic,6050,3.54
900555,Provider_0555,Garage,6102,3.56
900556,Provider_0556,Hospital,6071,4.94
900557,Provider_0557,BodyShop,6085,3.1
900558,Provider_0558,BodyShop,6172,3.83
900559,Provider_0559,Garage,6022,4.86
900560,Provider_0560,Garage,6124,2.83
900561,Provider_0561,Diagnostics,6093,4.71
900562,Provider_0562,Garage,6132,4.42
900563,Provider_0563,Hospital,6096,3.47
900564,Provider_0564,Hospital,6162,4.77
900565,Provider_0565,Garage,6167,4.35
900566,Provider_0566,Clinic,6131,4.95
900567,Provider_0567,Garage,6160,4.03
900568,Provider_0568,Hospital,6160,4.13
900569,Provider_0569,Garage,6140,3.78
900570,Provider_0570,TPA,6206,2.81
900571,Provider_0571,Hospital,6011,2.51
900572,Provider_0572,Clinic,6037,3.49
900573,Provider_0573,Garage,6155,4.2
900574,Provider_0574,Clinic,6031,3.3
900575,Provider_0575,BodyShop,6216,4.66
900576,Provider_0576,Diagnostics,6172,4.91
900577,Provider_0577,Hospital,6041,3.41
900578,Provider_0578,Garage,6133,3.64
900579,Provider_0579,Garage,6060,4.22
900580,Provider_0580,Hospital,6125,4.96
900581,Provider_0581,Diagnostics,6030,4.04
900582,Provider_0582,Diagnostics,6198,4.66
900583,Provider_0583,Diagnostics,6078,2.73
900584,Provider_0584,Hospital,6200,3.94
900585,Provider_0585,BodyShop,6006,3.83
900586,Provider_0586,Garage,6165,3.61
900587,Provider_0587,Hospital,6002,3.61
900588,Provider_0588,BodyShop,6141,4.32
900589,Provider_0589,Hospital,6003,3.35
900590,Provider_0590,Garage,6024,3.7
900591,Provider_0591,Garage,6129,3.78
900592,Provider_0592,Garage,6004,3.74
900593,Provider_0593,TPA,6048,4.94
900594,Provider_0594,Hospital,6091,3.97
900595,Provider_0595,Hospital,6067,4.75
900596,Provider_0596,Hospital,6009,4.55
900597,Provider_0597,Diagnostics,6178,4.83
900598,Provider_0598,Garage,6095,3.02
900599,Provider_0599,BodyShop,6168,4.5
900600,Provider_0600,Garage,6123,4.35
900601,Provider_0601,Garage,6029,3.57
900602,Provider_0602,Hospital,6116,3.43
900603,Provider_0603,Garage,6174,3.43
900604,Provider_0604,Clinic,6132,3.63
900605,Provider_0605,Garage,6181,3.54
900606,Provider_0606,Clinic,6015,3.46
900607,Provider_0607,Hospital,6163,4.96
900608,Provider_0608,Hospital,6017,2.89
900609,Provider_0609,TPA,6080,2.72
900610,Provider_0610,Garage,6096,4.88
900611,Provider_0611,Hospital,6162,3.69
900612,Provider_0612,TPA,6037,3.78
900613,Provider_0613,TPA,6215,3.41
900614,Provider_0614,Garage,6159,4.68
900615,Provider_0615,Clinic,6132,2.65
900616,Provider_0616,Hospital,6166,4.51
900617,Provider_0617,BodyShop,6002,3.67
900618,Provider_0618,Garage,6180,2.99
900619,Provider_0619,Garage,6107,3.27
900620,Provider_0620,Garage,6008,4.28
900621,Provider_0621,Garage,6036,3.91
900622,Provider_0622,Hospital,6209,2.73
900623,Provider_0623,Garage,6081,3.46
900624,Provider_0624,BodyShop,6211,2.54
900625,Provider_0625,Hospital,6034,3.06
900626,Provider_0626,TPA,6210,2.8
900627,Provider_0627,Hospital,6002,2.67
900628,Provider_0628,Garage,6117,4.06
900629,Provider_0629,Clinic,6174,2.83
900630,Provider_0630,Hospital,6172,3.46
900631,Provider_0631,Clinic,6077,2.8
900632,Provider_0632,Hospital,6107,3.61
900633,Provider_0633,BodyShop,6000,3.84
900634,Provider_0634,Garage,6067,3.16
900635,Provider_0635,Clinic,6070,4.02
900636,Provider_0636,Hospital,6005,3.3
900637,Provider_0637,Diagnostics,6077,4.05
900638,Provider_0638,Garage,6159,3.74
900639,Provider_0639,Garage,6117,3.13
900640,Provider_0640,Hospital,6074,2.92
