AlertID,ClaimID,PolicyID,DetectionDate,FraudType,ModelScore,InvestigationStatus,Outcome
12000055,8015216,5024247,2023-12-12,Staged Accident,0.44,Open,Inconclusive
12000056,8009800,5012697,2025-04-07,Inflated Repair,0.611,Open,Confirmed
12000057,8031794,5029202,2021-01-07,Inflated Repair,0.45,InProgress,Confirmed
12000058,8021467,5026241,2021-06-16,Staged Accident,0.145,Closed,Inconclusive
12000059,8005133,5019039,2022-07-25,Upcoding,0.897,InProgress,Confirmed
12000060,8032609,5014474,2023-04-24,Inflated Repair,0.462,InProgress,Inconclusive
12000061,8008527,5009199,2022-03-23,Staged Accident,0.651,Closed,NotConfirmed
12000062,8020664,5002399,2024-02-04,Duplicate Claim,0.903,Open,Inconclusive
12000063,8043721,5024779,2024-11-28,Staged Accident,0.268,Open,Confirmed
12000064,8019870,5027925,2021-03-07,Inflated Repair,0.52,InProgress,Confirmed
12000065,8044046,5000249,2025-07-04,Inflated Repair,0.859,Closed,Confirmed
12000066,8028028,5011227,2020-12-25,Provider Collusion,0.578,Closed,Confirmed
12000067,8008482,5002764,2023-10-02,Duplicate Claim,0.331,Open,Confirmed
12000068,8004061,5005057,2023-04-09,Duplicate Claim,0.432,InProgress,Confirmed
12000069,8006739,5018128,2022-06-07,Staged Accident,0.721,Closed,NotConfirmed
12000070,8003273,5021579,2022-01-06,Staged Accident,0.91,InProgress,NotConfirmed
12000071,8042899,5012554,2025-10-08,Provider Collusion,0.894,InProgress,NotConfirmed
12000072,8014599,5003431,2022-09-01,Inflated Repair,0.44,Open,NotConfirmed
12000073,8011091,5003743,2022-11-08,Inflated Repair,0.499,Open,NotConfirmed
12000074,8034898,5011754,2022-07-17,Duplicate Claim,0.48,Closed,Inconclusive
12000075,8041316,5016166,2022-10-20,Duplicate Claim,0.909,InProgress,NotConfirmed
12000076,8026534,5001895,2023-07-23,Inflated Repair,0.526,Open,Confirmed
12000077,8011372,5020173,2024-09-05,Provider Collusion,0.847,Closed,Confirmed
12000078,8002597,5015663,2021-12-04,Inflated Repair,0.973,InProgress,Confirmed
12000079,8022433,5019756,2022-07-03,Identity Theft,0.436,Open,Confirmed
12000080,8021396,5020156,2025-09-19,Upcoding,0.258,Open,Confirmed
12000081,8003669,5015104,2021-01-27,Duplicate Claim,0.628,Closed,Inconclusive
12000082,8019140,5021265,2022-06-03,Staged Accident,0.113,InProgress,Confirmed
12000083,8024014,5026758,2020-09-16,Identity Theft,0.653,InProgress,Inconclusive
12000084,8022676,5004920,2025-11-15,Inflated Repair,0.22,Closed,Confirmed
12000085,8011495,5018859,2024-12-04,Identity Theft,0.98,Open,NotConfirmed
12000086,8002571,5019549,2025-04-10,Staged Accident,0.506,Closed,NotConfirmed
12000087,8024030,5023658,2024-08-28,Duplicate Claim,0.479,InProgress,Confirmed
12000088,8008447,5020788,2025-01-08,Duplicate Claim,0.321,InProgress,Confirmed
12000089,8032712,5017598,2025-08-28,Inflated Repair,0.603,Closed,Confirmed
12000090,8037844,5019205,2025-01-15,Identity Theft,0.419,Open,Confirmed
12000091,8036093,5002222,2022-01-01,Inflated Repair,0.26,InProgress,NotConfirmed
12000092,8036164,5015979,2026-01-10,Inflated Repair,0.201,Open,Confirmed
12000093,8005687,5006188,2023-05-30,Staged Accident,0.446,InProgress,NotConfirmed
12000094,8024593,5006576,2024-08-24,Staged Accident,0.876,Closed,Inconclusive
12000095,8005582,5006443,2021-05-25,Duplicate Claim,0.911,Open,Inconclusive
12000096,8017949,5007870,2022-01-30,Staged Accident,0.799,Open,NotConfirmed
12000097,8041337,5016785,2023-07-18,Staged Accident,0.705,InProgress,Confirmed
12000098,8039843,5010367,2025-06-04,Staged Accident,0.339,Open,Confirmed
12000099,8019442,5018275,2022-03-21,Duplicate Claim,0.143,InProgress,Confirmed
12000100,8018963,5019998,2024-11-23,Staged Accident,0.779,InProgress,Confirmed
12000101,8027925,5006841,2025-05-28,Provider Collusion,0.876,InProgress,NotConfirmed
12000102,8021347,5016284,2025-09-13,Inflated Repair,0.415,Open,NotConfirmed
12000103,8037330,5008174,2022-01-22,Staged Accident,0.766,Open,NotConfirmed
12000104,8023162,5020793,2022-09-24,Inflated Repair,0.863,Open,Confirmed
12000105,8031098,5022512,2022-03-16,Identity Theft,0.706,Closed,NotConfirmed
12000106,8025781,5021619,2022-04-02,Provider Collusion,0.281,Open,NotConfirmed
12000107,8020746,5015270,2021-05-08,Duplicate Claim,0.424,InProgress,Inconclusive
12000108,8036352,5009890,2024-10-02,Inflated Repair,0.247,Open,Inconclusive
12000109,8024028,5018284,2025-05-10,Provider Collusion,0.698,Open,Inconclusive
12000110,8023809,5010943,2025-01-30,Staged Accident,0.203,Open,Confirmed
12000111,8028786,5007675,2025-05-04,Staged Accident,0.648,Open,Confirmed
12000112,8027692,5010840,2021-10-31,Inflated Repair,0.243,Open,Inconclusive
12000113,8024468,5027964,2023-10-24,Inflated Repair,0.607,Open,NotConfirmed
12000114,8004311,5026707,2023-01-19,Upcoding,0.419,Open,NotConfirmed
12000115,8044570,5004321,2023-10-11,Provider Collusion,0.769,Open,NotConfirmed
12000116,8041501,5021437,2022-03-04,Inflated Repair,0.949,Closed,Confirmed
12000117,8035874,5023858,2024-05-10,Inflated Repair,0.878,Open,Confirmed
12000118,8024013,5002482,2026-03-13,Staged Accident,0.978,Open,Confirmed
12000119,8030135,5006399,2024-11-08,Staged Accident,0.655,InProgress,NotConfirmed
12000120,8025471,5007486,2025-05-28,Duplicate Claim,0.434,Closed,NotConfirmed
12000121,8037059,5029901,2021-07-24,Provider Collusion,0.679,InProgress,NotConfirmed
12000122,8000745,5018576,2021-05-16,Inflated Repair,0.941,InProgress,Confirmed
12000123,8014273,5027242,2022-09-18,Upcoding,0.39,InProgress,Inconclusive
12000124,8043429,5003955,2021-08-01,Inflated Repair,0.763,InProgress,Confirmed
12000125,8034021,5015074,2021-07-17,Duplicate Claim,0.598,Open,Confirmed
12000126,8025461,5028392,2020-09-23,Provider Collusion,0.698,Closed,NotConfirmed
12000127,8022510,5013105,2024-03-06,Provider Collusion,0.514,InProgress,Confirmed
12000128,8013455,5005750,2025-03-18,Provider Collusion,0.515,Closed,NotConfirmed
12000129,8007001,5014888,2021-01-13,Duplicate Claim,0.974,InProgress,NotConfirmed
12000130,8020934,5019680,2024-05-28,Provider Collusion,0.802,InProgress,Inconclusive
12000131,8000411,5016055,2023-10-11,Inflated Repair,0.494,InProgress,NotConfirmed
12000132,8029233,5022061,2025-05-15,Inflated Repair,0.403,InProgress,NotConfirmed
12000133,8029754,5005421,2023-09-19,Identity Theft,0.409,InProgress,NotConfirmed
12000134,8037674,5027754,2023-04-01,Staged Accident,0.82,Open,Confirmed
12000135,8011285,5010768,2024-07-09,Identity Theft,0.239,InProgress,Inconclusive
12000136,8043890,5003253,2022-07-09,Provider Collusion,0.919,Open,Confirmed
12000137,8022647,5026624,2025-03-05,Inflated Repair,0.482,Open,NotConfirmed
12000138,8044044,5003361,2024-04-12,Identity Theft,0.896,InProgress,NotConfirmed
12000139,8029487,5009379,2022-06-13,Staged Accident,0.971,Open,Inconclusive
12000140,8018290,5003715,2024-07-13,Identity Theft,0.61,InProgress,Inconclusive
12000141,8021489,5027210,2020-11-15,Staged Accident,0.708,InProgress,Confirmed
12000142,8018318,5007349,2024-02-28,Identity Theft,0.262,InProgress,NotConfirmed
12000143,8034101,5009502,2023-09-03,Staged Accident,0.274,Closed,Inconclusive
12000144,8009267,5014807,2022-02-26,Inflated Repair,0.631,InProgress,Confirmed
12000145,8015590,5025196,2025-12-03,Duplicate Claim,0.446,Closed,NotConfirmed
12000146,8038216,5009011,2025-12-09,Provider Collusion,0.937,InProgress,Confirmed
12000147,8021085,5025430,2025-09-28,Staged Accident,0.252,InProgress,Inconclusive
12000148,8020136,5021087,2022-12-11,Inflated Repair,0.847,Open,NotConfirmed
12000149,8022438,5024891,2023-01-02,Upcoding,0.606,Open,NotConfirmed
12000150,8028049,5001539,2023-01-18,Duplicate Claim,0.683,Closed,Confirmed
12000151,8040949,5005395,2021-10-29,Inflated Repair,0.797,InProgress,NotConfirmed
12000152,8000716,5014155,2022-07-04,Staged Accident,0.136,Open,NotConfirmed
12000153,8019334,5005883,2021-04-18,Inflated Repair,0.351,InProgress,Confirmed
12000154,8002630,5007806,2023-09-20,Staged Accident,0.529,Open,Confirmed
12000155,8025749,5004321,2023-02-16,Duplicate Claim,0.296,InProgress,Inconclusive
12000156,8017120,5017941,2026-02-06,Duplicate Claim,0.9,Open,NotConfirmed
12000157,8030355,5024184,2021-08-01,Identity Theft,0.808,Open,NotConfirmed
12000158,8024423,5008575,2024-04-08,Duplicate Claim,0.55,InProgress,NotConfirmed
12000159,8044090,5025887,2025-11-01,Inflated Repair,0.233,InProgress,NotConfirmed
12000160,8036062,5023245,2023-02-10,Identity Theft,0.505,Open,NotConfirmed
12000161,8032587,5026499,2022-08-26,Staged Accident,0.886,InProgress,Confirmed
12000162,8014758,5006157,2024-01-29,Inflated Repair,0.492,Open,Confirmed
12000163,8019881,5020072,2025-03-30,Duplicate Claim,0.669,Closed,NotConfirmed
12000164,8038045,5016353,2022-09-06,Duplicate Claim,0.188,Closed,NotConfirmed
12000165,8000702,5029308,2026-01-27,Staged Accident,0.247,Closed,Inconclusive
12000166,8025385,5021886,2026-06-24,Identity Theft,0.779,Closed,Inconclusive
12000167,8013023,5001184,2024-09-28,Duplicate Claim,0.147,Open,NotConfirmed
12000168,8018392,5026968,2022-06-26,Inflated Repair,0.305,InProgress,Inconclusive
12000169,8036378,5024000,2024-07-24,Staged Accident,0.251,Open,Confirmed
12000170,8011297,5003033,2023-11-17,Identity Theft,0.379,InProgress,NotConfirmed
12000171,8008098,5006951,2025-01-29,Provider Collusion,0.776,Open,Confirmed
12000172,8022402,5003426,2026-04-27,Staged Accident,0.325,Open,Confirmed
12000173,8013687,5005701,2025-08-11,Upcoding,0.876,InProgress,NotConfirmed
12000174,8019918,5025643,2025-05-13,Identity Theft,0.149,Open,NotConfirmed
12000175,8006208,5014751,2021-08-11,Duplicate Claim,0.929,Open,NotConfirmed
12000176,8024481,5003762,2024-09-29,Upcoding,0.876,Open,NotConfirmed
12000177,8038755,5019972,2020-05-13,Identity Theft,0.257,InProgress,NotConfirmed
12000178,8016194,5016197,2020-07-12,Staged Accident,0.263,InProgress,NotConfirmed
12000179,8025004,5015162,2021-04-14,Provider Collusion,0.133,InProgress,NotConfirmed
12000180,8009875,5025284,2020-10-07,Duplicate Claim,0.853,Open,Confirmed
12000181,8030877,5013753,2025-03-28,Inflated Repair,0.149,Closed,Inconclusive
12000182,8008607,5007243,2024-05-02,Upcoding,0.708,InProgress,Inconclusive
12000183,8022529,5010553,2022-03-12,Identity Theft,0.234,Open,Inconclusive
12000184,8020552,5022578,2025-10-25,Inflated Repair,0.143,InProgress,Confirmed
12000185,8007061,5008299,2021-05-16,Inflated Repair,0.525,InProgress,NotConfirmed
12000186,8037924,5022379,2022-03-03,Inflated Repair,0.898,InProgress,Inconclusive
12000187,8034216,5028997,2024-09-29,Staged Accident,0.203,InProgress,Confirmed
12000188,8029815,5010413,2022-01-03,Identity Theft,0.756,InProgress,NotConfirmed
12000189,8006243,5006989,2025-02-04,Identity Theft,0.85,InProgress,NotConfirmed
12000190,8010826,5001893,2025-11-17,Provider Collusion,0.445,Closed,NotConfirmed
12000191,8036418,5006757,2026-05-06,Provider Collusion,0.702,InProgress,Inconclusive
12000192,8018290,5003715,2024-07-04,Upcoding,0.66,Closed,Inconclusive
12000193,8020467,5021287,2023-10-28,Inflated Repair,0.658,InProgress,Inconclusive
12000194,8025307,5013600,2020-12-06,Inflated Repair,0.739,Closed,Confirmed
12000195,8029132,5009139,2021-05-28,Inflated Repair,0.104,Open,NotConfirmed
12000196,8021200,5025624,2024-02-03,Inflated Repair,0.386,InProgress,Confirmed
12000197,8039725,5028515,2021-12-14,Provider Collusion,0.622,InProgress,Inconclusive
12000198,8024938,5021347,2025-08-18,Inflated Repair,0.575,Closed,NotConfirmed
12000199,8032643,5003790,2022-10-21,Upcoding,0.743,Open,Confirmed
12000200,8010970,5004077,2022-10-20,Staged Accident,0.521,InProgress,NotConfirmed
12000201,8041545,5003850,2025-09-01,Inflated Repair,0.698,Closed,Confirmed
12000202,8027716,5001523,2022-08-25,Duplicate Claim,0.489,Closed,Confirmed
12000203,8030267,5005529,2020-10-22,Identity Theft,0.805,Open,NotConfirmed
12000204,8024223,5019063,2022-03-02,Staged Accident,0.268,Open,NotConfirmed
12000205,8035855,5019088,2021-03-28,Inflated Repair,0.644,Open,Confirmed
12000206,8034303,5028915,2023-05-13,Staged Accident,0.33,Open,Confirmed
12000207,8040372,5028369,2022-01-05,Inflated Repair,0.563,Open,Confirmed
12000208,8034173,5013945,2024-08-11,Inflated Repair,0.675,InProgress,NotConfirmed
12000209,8037950,5019239,2021-12-20,Provider Collusion,0.507,Open,NotConfirmed
12000210,8001898,5009811,2020-11-20,Identity Theft,0.838,Open,NotConfirmed
12000211,8032369,5023987,2021-04-11,Inflated Repair,0.819,Open,NotConfirmed
12000212,8002988,5025288,2021-06-25,Duplicate Claim,0.38,Closed,Inconclusive
12000213,8003507,5022649,2020-10-29,Inflated Repair,0.694,InProgress,Confirmed
12000214,8016171,5018662,2024-11-24,Provider Collusion,0.795,Open,NotConfirmed
12000215,8022828,5000306,2023-04-16,Staged Accident,0.405,InProgress,Inconclusive
12000216,8014507,5027783,2024-12-16,Inflated Repair,0.611,InProgress,NotConfirmed
12000217,8026269,5004835,2022-02-12,Inflated Repair,0.381,Closed,NotConfirmed
12000218,8027012,5017134,2020-08-02,Duplicate Claim,0.906,InProgress,NotConfirmed
12000219,8012254,5006188,2023-12-31,Staged Accident,0.151,InProgress,NotConfirmed
12000220,8038390,5007895,2025-01-26,Inflated Repair,0.586,Open,NotConfirmed
12000221,8008018,5017565,2023-07-03,Identity Theft,0.477,InProgress,Inconclusive
12000222,8014167,5010517,2023-12-07,Duplicate Claim,0.753,Closed,Confirmed
12000223,8014787,5015154,2024-05-31,Inflated Repair,0.784,Open,NotConfirmed
12000224,8010138,5026647,2024-10-16,Provider Collusion,0.403,Open,Confirmed
12000225,8014283,5022255,2020-04-28,Provider Collusion,0.981,InProgress,Confirmed
12000226,8005501,5007216,2020-12-17,Inflated Repair,0.572,Open,NotConfirmed
12000227,8027393,5017942,2021-04-06,Inflated Repair,0.757,Open,NotConfirmed
12000228,8009941,5020632,2020-08-06,Staged Accident,0.273,Open,NotConfirmed
12000229,8010578,5020512,2025-09-19,Inflated Repair,0.653,Open,NotConfirmed
12000230,8038252,5024371,2024-03-10,Upcoding,0.297,InProgress,Confirmed
12000231,8006444,5002720,2025-09-16,Duplicate Claim,0.382,Open,NotConfirmed
12000232,8042052,5014252,2023-05-26,Inflated Repair,0.606,Open,Inconclusive
12000233,8009969,5023258,2026-03-26,Inflated Repair,0.873,InProgress,Inconclusive
12000234,8027540,5025911,2021-11-03,Inflated Repair,0.68,Closed,Confirmed
12000235,8037982,5003386,2026-01-24,Upcoding,0.437,InProgress,Confirmed
12000236,8031557,5003640,2024-01-18,Duplicate Claim,0.57,Open,Confirmed
12000237,8044987,5005565,2022-06-27,Duplicate Claim,0.529,InProgress,Inconclusive
12000238,8023252,5011695,2022-04-10,Duplicate Claim,0.685,InProgress,NotConfirmed
12000239,8041914,5026616,2020-10-31,Provider Collusion,0.721,InProgress,NotConfirmed
12000240,8031139,5015119,2024-06-10,Identity Theft,0.707,Open,NotConfirmed
12000241,8029870,5009551,2025-08-03,Staged Accident,0.653,InProgress,NotConfirmed
12000242,8033806,5009667,2023-04-29,Provider Collusion,0.605,InProgress,Confirmed
12000243,8017893,5014230,2025-07-02,Inflated Repair,0.525,Open,Confirmed
12000244,8010966,5024508,2023-07-11,Staged Accident,0.837,InProgress,NotConfirmed
12000245,8013487,5013838,2025-07-17,Identity Theft,0.271,InProgress,NotConfirmed
12000246,8036118,5028991,2023-02-22,Upcoding,0.895,Open,NotConfirmed
12000247,8039977,5005702,2024-11-15,Provider Collusion,0.699,InProgress,NotConfirmed
12000248,8001128,5008768,2024-10-21,Provider Collusion,0.936,InProgress,NotConfirmed
12000249,8004916,5022683,2023-04-03,Inflated Repair,0.271,Open,NotConfirmed
12000250,8039930,5026992,2021-01-13,Upcoding,0.662,InProgress,Confirmed
12000251,8034193,5025213,2021-07-12,Staged Accident,0.116,Open,Confirmed
12000252,8016258,5003405,2024-12-09,Staged Accident,0.224,InProgress,Confirmed
12000253,8033048,5023646,2020-11-01,Duplicate Claim,0.27,Open,NotConfirmed
12000254,8044420,5009634,2022-06-07,Identity Theft,0.347,InProgress,Confirmed
12000255,8044086,5014694,2024-11-18,Inflated Repair,0.313,Open,NotConfirmed
12000256,8025843,5002089,2023-12-07,Staged Accident,0.854,InProgress,NotConfirmed
12000257,8008537,5014894,2025-07-25,Identity Theft,0.881,Open,Inconclusive
12000258,8012713,5014321,2024-09-16,Duplicate Claim,0.129,InProgress,Inconclusive
12000259,8001019,5025654,2021-11-20,Duplicate Claim,0.349,InProgress,NotConfirmed
12000260,8003297,5007229,2026-01-31,Inflated Repair,0.749,InProgress,Inconclusive
12000261,8036108,5026564,2022-07-19,Inflated Repair,0.65,InProgress,NotConfirmed
12000262,8034958,5015729,2023-10-23,Upcoding,0.848,InProgress,NotConfirmed
12000263,8007547,5007447,2025-04-21,Duplicate Claim,0.572,InProgress,NotConfirmed
12000264,8043845,5012620,2024-12-15,Duplicate Claim,0.108,Open,Confirmed
12000265,8024098,5018301,2022-12-02,Identity Theft,0.456,InProgress,Confirmed
12000266,8037064,5025249,2022-10-20,Upcoding,0.614,Open,NotConfirmed
12000267,8027773,5014199,2024-09-06,Inflated Repair,0.318,InProgress,NotConfirmed
12000268,8019738,5027376,2024-05-31,Duplicate Claim,0.433,Open,Confirmed
12000269,8023581,5025314,2021-02-23,Identity Theft,0.643,Open,Confirmed
12000270,8015735,5002705,2024-12-26,Staged Accident,0.723,Open,NotConfirmed
12000271,8040926,5018623,2023-03-17,Upcoding,0.868,InProgress,NotConfirmed
12000272,8003220,5006790,2020-11-04,Staged Accident,0.386,InProgress,Confirmed
12000273,8010057,5013682,2023-10-26,Provider Collusion,0.167,Closed,NotConfirmed
12000274,8032905,5004395,2021-06-11,Upcoding,0.409,Open,NotConfirmed
12000275,8023551,5004402,2023-05-22,Provider Collusion,0.755,InProgress,NotConfirmed
12000276,8023278,5004681,2022-03-03,Staged Accident,0.972,InProgress,NotConfirmed
12000277,8039046,5002347,2021-01-10,Staged Accident,0.465,Open,Confirmed
12000278,8003690,5025133,2025-09-20,Upcoding,0.156,Open,NotConfirmed
12000279,8018632,5001019,2021-09-24,Upcoding,0.623,Closed,NotConfirmed
12000280,8019442,5018275,2022-03-25,Inflated Repair,0.91,Closed,NotConfirmed
12000281,8004038,5018018,2020-11-07,Upcoding,0.175,Open,NotConfirmed
12000282,8028170,5009244,2023-09-03,Provider Collusion,0.916,InProgress,Confirmed
12000283,8023521,5004747,2025-03-03,Inflated Repair,0.445,Open,Confirmed
12000284,8040162,5016256,2024-03-15,Provider Collusion,0.222,Open,Confirmed
12000285,8004346,5015860,2023-08-03,Inflated Repair,0.345,InProgress,Inconclusive
12000286,8038501,5000417,2022-10-05,Inflated Repair,0.476,Open,Confirmed
12000287,8036017,5023198,2021-11-14,Identity Theft,0.443,Open,NotConfirmed
12000288,8022881,5009495,2024-06-26,Duplicate Claim,0.49,Closed,Confirmed
12000289,8041603,5029893,2025-05-14,Staged Accident,0.2,Open,Confirmed
12000290,8003220,5006790,2020-12-07,Inflated Repair,0.525,InProgress,Confirmed
12000291,8039842,5021962,2022-03-01,Duplicate Claim,0.138,Open,NotConfirmed
12000292,8008516,5022609,2025-06-16,Inflated Repair,0.527,InProgress,Inconclusive
12000293,8010029,5029793,2022-03-15,Provider Collusion,0.252,InProgress,Inconclusive
12000294,8037463,5024057,2023-06-23,Inflated Repair,0.416,InProgress,NotConfirmed
12000295,8037406,5008369,2021-04-10,Duplicate Claim,0.327,InProgress,Confirmed
12000296,8027443,5021810,2023-07-03,Staged Accident,0.695,InProgress,Confirmed
12000297,8018623,5012193,2022-06-24,Inflated Repair,0.22,Open,Confirmed
12000298,8005157,5026427,2025-07-19,Provider Collusion,0.301,InProgress,Confirmed
12000299,8041379,5015193,2020-09-14,Provider Collusion,0.231,Closed,NotConfirmed
12000300,8011272,5024617,2021-01-25,Duplicate Claim,0.549,InProgress,NotConfirmed
12000301,8011030,5020825,2020-09-21,Staged Accident,0.843,Open,Confirmed
12000302,8014427,5008336,2025-04-18,Duplicate Claim,0.505,Open,Confirmed
12000303,8031502,5007085,2025-10-08,Duplicate Claim,0.919,InProgress,NotConfirmed
12000304,8002451,5011763,2024-10-21,Provider Collusion,0.358,Closed,Confirmed
12000305,8020450,5014522,2021-07-16,Duplicate Claim,0.545,Closed,Confirmed
12000306,8014993,5022656,2022-07-16,Upcoding,0.316,Open,NotConfirmed
12000307,8009290,5007042,2020-09-23,Provider Collusion,0.915,Open,NotConfirmed
12000308,8011116,5010612,2024-05-12,Inflated Repair,0.514,Closed,NotConfirmed
12000309,8000972,5026321,2023-10-01,Staged Accident,0.732,Open,Confirmed
12000310,8000864,5029587,2021-02-22,Inflated Repair,0.722,Open,NotConfirmed
12000311,8039373,5006684,2021-05-29,Duplicate Claim,0.749,Open,Confirmed
12000312,8015631,5009581,2021-08-17,Staged Accident,0.281,Open,Confirmed
12000313,8004027,5007943,2024-06-06,Identity Theft,0.451,Open,Confirmed
12000314,8012836,5024963,2022-06-14,Duplicate Claim,0.425,Open,NotConfirmed
12000315,8007646,5016623,2024-06-14,Duplicate Claim,0.397,Closed,Confirmed
12000316,8004174,5011918,2025-06-26,Inflated Repair,0.433,InProgress,Inconclusive
12000317,8002685,5010466,2021-09-01,Staged Accident,0.944,InProgress,Inconclusive
12000318,8034226,5012482,2022-08-06,Duplicate Claim,0.399,Open,Confirmed
12000319,8043196,5019952,2021-07-13,Inflated Repair,0.165,InProgress,Confirmed
12000320,8027537,5021793,2020-07-14,Identity Theft,0.749,Closed,NotConfirmed
12000321,8010534,5006230,2025-11-09,Provider Collusion,0.279,Open,NotConfirmed
12000322,8020663,5006339,2024-05-31,Staged Accident,0.616,Closed,Confirmed
12000323,8025071,5021467,2021-04-17,Identity Theft,0.767,InProgress,Confirmed
12000324,8029148,5006443,2020-11-12,Inflated Repair,0.531,InProgress,NotConfirmed
12000325,8011421,5005563,2022-10-22,Inflated Repair,0.759,InProgress,NotConfirmed
12000326,8043052,5014980,2025-07-09,Provider Collusion,0.938,Open,Confirmed
12000327,8010432,5007121,2023-07-18,Staged Accident,0.655,InProgress,NotConfirmed
12000328,8018610,5012413,2022-08-28,Upcoding,0.436,Closed,Confirmed
12000329,8020937,5010796,2022-04-21,Provider Collusion,0.859,Open,Confirmed
12000330,8013890,5023658,2025-01-03,Provider Collusion,0.861,Closed,NotConfirmed
12000331,8009612,5016037,2024-11-12,Provider Collusion,0.843,Open,Confirmed
12000332,8038337,5009516,2023-05-10,Identity Theft,0.203,Closed,Inconclusive
